Čas publikovania,Veková skupina,Vakcína,Dávka,Počet
2021-05-17 16:12:10,00-17,mRNA (Pfizer alebo Moderna),1,15664
2021-05-18 16:04:22,00-17,mRNA (Pfizer alebo Moderna),1,15804
2021-05-19 16:58:38,00-17,mRNA (Pfizer alebo Moderna),1,13057
2021-05-20 16:57:47,00-17,mRNA (Pfizer alebo Moderna),1,13027
2021-05-21 19:05:03,00-17,mRNA (Pfizer alebo Moderna),1,13276
2021-05-22 19:05:03,00-17,mRNA (Pfizer alebo Moderna),1,13403
2021-05-17 16:12:10,18-19,mRNA (Pfizer alebo Moderna),1,217
2021-05-18 16:04:22,18-19,mRNA (Pfizer alebo Moderna),1,182
2021-05-19 16:58:38,18-19,mRNA (Pfizer alebo Moderna),1,11016
2021-05-20 16:57:47,18-19,mRNA (Pfizer alebo Moderna),1,11620
2021-05-21 19:05:03,18-19,mRNA (Pfizer alebo Moderna),1,11897
2021-05-22 19:05:03,18-19,mRNA (Pfizer alebo Moderna),1,11939
2021-05-17 16:12:10,20-24,mRNA (Pfizer alebo Moderna),1,165
2021-05-18 16:04:22,20-24,mRNA (Pfizer alebo Moderna),1,78
2021-05-19 16:58:38,20-24,mRNA (Pfizer alebo Moderna),1,28477
2021-05-20 16:57:47,20-24,mRNA (Pfizer alebo Moderna),1,29882
2021-05-21 19:05:03,20-24,mRNA (Pfizer alebo Moderna),1,30229
2021-05-22 19:05:03,20-24,mRNA (Pfizer alebo Moderna),1,30491
2021-05-17 16:12:10,25-29,mRNA (Pfizer alebo Moderna),1,212
2021-05-18 16:04:22,25-29,mRNA (Pfizer alebo Moderna),1,92
2021-05-19 16:58:38,25-29,mRNA (Pfizer alebo Moderna),1,32312
2021-05-20 16:57:47,25-29,mRNA (Pfizer alebo Moderna),1,34097
2021-05-21 19:05:03,25-29,mRNA (Pfizer alebo Moderna),1,33819
2021-05-22 19:05:03,25-29,mRNA (Pfizer alebo Moderna),1,33047
2021-05-17 16:12:10,30-34,mRNA (Pfizer alebo Moderna),1,325
2021-05-18 16:04:22,30-34,mRNA (Pfizer alebo Moderna),1,176
2021-05-19 16:58:38,30-34,mRNA (Pfizer alebo Moderna),1,34937
2021-05-20 16:57:47,30-34,mRNA (Pfizer alebo Moderna),1,33627
2021-05-21 19:05:03,30-34,mRNA (Pfizer alebo Moderna),1,31203
2021-05-22 19:05:03,30-34,mRNA (Pfizer alebo Moderna),1,30743
2021-05-17 16:12:10,35-39,mRNA (Pfizer alebo Moderna),1,41957
2021-05-18 16:04:22,35-39,mRNA (Pfizer alebo Moderna),1,41978
2021-05-19 16:58:38,35-39,mRNA (Pfizer alebo Moderna),1,15837
2021-05-20 16:57:47,35-39,mRNA (Pfizer alebo Moderna),1,13858
2021-05-21 19:05:03,35-39,mRNA (Pfizer alebo Moderna),1,12671
2021-05-22 19:05:03,35-39,mRNA (Pfizer alebo Moderna),1,12287
2021-05-17 16:12:10,40-44,mRNA (Pfizer alebo Moderna),1,16136
2021-05-18 16:04:22,40-44,mRNA (Pfizer alebo Moderna),1,15573
2021-05-19 16:58:38,40-44,mRNA (Pfizer alebo Moderna),1,9755
2021-05-20 16:57:47,40-44,mRNA (Pfizer alebo Moderna),1,9822
2021-05-21 19:05:03,40-44,mRNA (Pfizer alebo Moderna),1,8851
2021-05-22 19:05:03,40-44,mRNA (Pfizer alebo Moderna),1,7914
2021-05-17 16:12:10,45-49,mRNA (Pfizer alebo Moderna),1,7826
2021-05-18 16:04:22,45-49,mRNA (Pfizer alebo Moderna),1,7181
2021-05-19 16:58:38,45-49,mRNA (Pfizer alebo Moderna),1,4191
2021-05-20 16:57:47,45-49,mRNA (Pfizer alebo Moderna),1,3887
2021-05-21 19:05:03,45-49,mRNA (Pfizer alebo Moderna),1,3156
2021-05-22 19:05:03,45-49,mRNA (Pfizer alebo Moderna),1,2380
2021-05-17 16:12:10,50-54,mRNA (Pfizer alebo Moderna),1,5104
2021-05-18 16:04:22,50-54,mRNA (Pfizer alebo Moderna),1,3915
2021-05-19 16:58:38,50-54,mRNA (Pfizer alebo Moderna),1,1052
2021-05-20 16:57:47,50-54,mRNA (Pfizer alebo Moderna),1,896
