Dávka,Veková skupina,Čas publikovania,Vážený počet registrácii
1,00-17,2021-05-18 16:04:22,15804.00000000012
1,18-19,2021-05-18 16:04:22,12683.00000000019
1,20-24,2021-05-18 16:04:22,32424.60000000002
1,25-29,2021-05-18 16:04:22,37270.33333333318
1,30-34,2021-05-18 16:04:22,44568.266666666765
1,35-39,2021-05-18 16:04:22,42099.62499999999
1,40-44,2021-05-18 16:04:22,15603.133333333342
1,45-49,2021-05-18 16:04:22,7211.833333333337
1,50-54,2021-05-18 16:04:22,3934.9999999999977
1,55-59,2021-05-18 16:04:22,1804.0
1,60-64,2021-05-18 16:04:22,1004.8000000000001
1,65-69,2021-05-18 16:04:22,356.75000000000006
1,70-74,2021-05-18 16:04:22,151.00000000000006
1,75-79,2021-05-18 16:04:22,68.99999999999997
1,80-84,2021-05-18 16:04:22,50.0
1,85-n,2021-05-18 16:04:22,14.99999999999998
2,00-17,2021-05-18 16:04:22,1209.4999999999923
2,18-19,2021-05-18 16:04:22,4625.27976190467
2,20-24,2021-05-18 16:04:22,13134.208333333354
2,25-29,2021-05-18 16:04:22,15875.692704517764
2,30-34,2021-05-18 16:04:22,23413.47853812901
2,35-39,2021-05-18 16:04:22,34834.136928104475
2,40-44,2021-05-18 16:04:22,57491.575096184104
2,45-49,2021-05-18 16:04:22,81512.91860147114
2,50-54,2021-05-18 16:04:22,78399.89491342001
2,55-59,2021-05-18 16:04:22,93357.83611388449
2,60-64,2021-05-18 16:04:22,88847.26465819115
2,65-69,2021-05-18 16:04:22,79450.85877915876
2,70-74,2021-05-18 16:04:22,13441.46832611842
2,75-79,2021-05-18 16:04:22,5794.461363636343
2,80-84,2021-05-18 16:04:22,3305.191666666667
2,85-n,2021-05-18 16:04:22,1832.583333333333
1,00-17,2021-05-19 16:58:38,13057.000000000044
1,18-19,2021-05-19 16:58:38,11067.000000000042
1,20-24,2021-05-19 16:58:38,28703.266666666834
1,25-29,2021-05-19 16:58:38,32621.33333333338
1,30-34,2021-05-19 16:58:38,35317.76666666651
1,35-39,2021-05-19 16:58:38,15837.958333333345
1,40-44,2021-05-19 16:58:38,9756.333333333334
1,45-49,2021-05-19 16:58:38,4192.499999999997
1,50-54,2021-05-19 16:58:38,1053.9999999999995
1,55-59,2021-05-19 16:58:38,651.000000000001
1,60-64,2021-05-19 16:58:38,362.7999999999998
1,65-69,2021-05-19 16:58:38,193.74999999999994
1,70-74,2021-05-19 16:58:38,135.99999999999983
1,75-79,2021-05-19 16:58:38,52.99999999999997
1,80-84,2021-05-19 16:58:38,31.0
