Dávka,Termín,Veková skupina,Čas publikovania,Počet registrácií
1,2021-06-23,00-17,2021-06-23 19:07:03,167
1,2021-06-23,18-19,2021-06-23 19:07:03,128
1,2021-06-23,20-24,2021-06-23 19:07:03,484
1,2021-06-23,25-29,2021-06-23 19:07:03,644
1,2021-06-23,30-34,2021-06-23 19:07:03,803
1,2021-06-23,35-39,2021-06-23 19:07:03,311
1,2021-06-23,40-44,2021-06-23 19:07:03,248
1,2021-06-23,45-49,2021-06-23 19:07:03,186
1,2021-06-23,50-54,2021-06-23 19:07:03,201
1,2021-06-23,55-59,2021-06-23 19:07:03,193
1,2021-06-23,60-64,2021-06-23 19:07:03,223
1,2021-06-23,65-69,2021-06-23 19:07:03,158
1,2021-06-23,70-74,2021-06-23 19:07:03,95
1,2021-06-23,75-79,2021-06-23 19:07:03,38
1,2021-06-23,80-84,2021-06-23 19:07:03,14
1,2021-06-23,85-n,2021-06-23 19:07:03,18
1,2021-06-24,00-17,2021-06-23 19:07:03,260
1,2021-06-24,18-19,2021-06-23 19:07:03,261
1,2021-06-24,20-24,2021-06-23 19:07:03,595
1,2021-06-24,25-29,2021-06-23 19:07:03,787
1,2021-06-24,30-34,2021-06-23 19:07:03,826
1,2021-06-24,35-39,2021-06-23 19:07:03,508
1,2021-06-24,40-44,2021-06-23 19:07:03,402
1,2021-06-24,45-49,2021-06-23 19:07:03,472
1,2021-06-24,50-54,2021-06-23 19:07:03,399
1,2021-06-24,55-59,2021-06-23 19:07:03,381
1,2021-06-24,60-64,2021-06-23 19:07:03,404
1,2021-06-24,65-69,2021-06-23 19:07:03,326
1,2021-06-24,70-74,2021-06-23 19:07:03,194
1,2021-06-24,75-79,2021-06-23 19:07:03,82
1,2021-06-24,80-84,2021-06-23 19:07:03,47
1,2021-06-24,85-n,2021-06-23 19:07:03,17
1,2021-06-25,00-17,2021-06-23 19:07:03,421
1,2021-06-25,18-19,2021-06-23 19:07:03,1143
1,2021-06-25,20-24,2021-06-23 19:07:03,1055
1,2021-06-25,25-29,2021-06-23 19:07:03,2018
1,2021-06-25,30-34,2021-06-23 19:07:03,786
1,2021-06-25,35-39,2021-06-23 19:07:03,701
1,2021-06-25,40-44,2021-06-23 19:07:03,515
1,2021-06-25,45-49,2021-06-23 19:07:03,291
1,2021-06-25,50-54,2021-06-23 19:07:03,284
1,2021-06-25,55-59,2021-06-23 19:07:03,284
1,2021-06-25,60-64,2021-06-23 19:07:03,251
1,2021-06-25,65-69,2021-06-23 19:07:03,240
