"timestamp","LastUpdate","LabTests","LabTestsDelta","Positives","PositivesDelta","AgTests","AgTestsDelta","AgPositives","AgPositivesDelta","Hospitalized","HospitalizedDelta","HospitalizedCovid19","HospitalizedCovid19Intensive","HospitalizedCovid19Ventilation","Deceased","DeceasedDelta","Cured","CuredDelta","median","vaccinated"
"2020-12-08-20-51","8.12.2020","1148771","10245","119232","1949","726873","25589","24280","1726","2048","69","1796","133","137","1046","28","87433","2583","1982",
"2020-12-09-20-32","9.12.2020","1162048","13277","121796","2564","771710","44837","27357","3077","2083","35","1862","139","131","1084","38","89769","2336","1982",
"2020-12-10-23-45","10.12.2020","1177178","15130","124921","3125","803017","31307","29382","2025","2123","40","1900","146","140","1104","20","91455","1686","2070",
"2020-12-11-20-30","11.12.2020","1188116","10938","127087","2166","845216","42199","32405","3023","2130","7","1932","144","138","1122","18","93533","2078","2070",
"2020-12-12-20-30","11.12.2020","1188116","10938","127087","2166","845216","42199","32405","3023","2130","7","1932","144","138","1122","18","93533","2078","2070",
"2020-12-13-20-30","13.12.2020","1216063","9991","132984","2190","900461","15597","35690","928","2147","16","1955","136","139","1175","27","97068","1652","2190",
"2020-12-14-20-30","14.12.2020","1218962","2899","133489","505","907006","6545","36160","470","2230","83","2037","140","142","1205","30","98585","1517","2190",
"2020-12-15-20-30","15.12.2020","1229863","10901","135523","2034","942641","35635","38948","2788","2388","158","2093","142","146","1251","46","100303","1718","2190",
"2020-12-16-20-30","16.12.2020","1246580","16717","139088","3565","999332","56691","43345","4397","2319","-69","2105","160","150","1309","58","101584","1281","2190",
"2020-12-17-20-30","17.12.2020","1261501","14921","142133","3045","1050280","50948","46799","3454","2355","36","2149","131","147","1378","69","102737","1153","2190",
"2020-12-18-20-30","18.12.2020","1279523","18022","146124","3991","1097849","47569","50329","3530","2412","57","2197","152","159","1440","62","104560","1823","3044",
"2020-12-19-20-30","19.12.2020","1295720","16197","149275","3151","1165290","67441","54406","4077","2374","-38","2157","139","165","1510","70","106361","1801","3044",
"2020-12-20-20-30","20.12.2020","1305541","9821","151336","2061","1195593","30303","56698","2292","2158","-216","2155","159","153","1555","45","107828","1467","3044",
"2020-12-21-20-30","21.12.2020","1311832","6291","152555","1219","1224180","28587","58202","1504","2451","75","2210","159","160","1618","63","109807","1979","3044",
"2020-12-22-20-30","22.12.2020","1325121","13289","155218","2663","1304015","79835","65127","6925","2538","87","2310","165","169","1618","0","110565","758","3044",
"2020-12-23-20-30","23.12.2020","1343265","18144","158905","3687","1380353","76338","70803","5676","2571","33","2328","163","185","1686","68","112627","2062","3044",
"2020-12-24-20-30","24.12.2020","1357503","14238","161562","2657","1469180","88827","75997","5194","2571","0","2220","173","191","1732","46","114267","1640","2663",
"2020-12-25-20-30","25.12.2020","1375946","18443","165608","4046","1487163","17983","77092","1095","2428","-18","2182","184","189","1732","0","115663","1396","2663",
"2020-12-26-20-30","26.12.2020","1380195","4249","166649","1041","1490500","3337","77291","199","2519","91","2255","183","197","1732","0","116948","1285","2657",
"2020-12-27-20-30","27.12.2020","1383745","3550","167523","874","1495453","4953","77570","279","2595","76","2317","190","206","1773","41","119086","2138","2657",
"2020-12-28-20-30","28.12.2020","1386285","2540","168092","569","1503029","7576","78789","1219","2729","134","2426","199","209","1879","106","120410","1324","2657",
"2020-12-29-20-30","29.12.2020","1395615","9330","170187","2095","1561228","58199","84100","5311","2869","140","2546","195","217","1983","104","121760","1350","2095",
"2020-12-30-20-30","30.12.2020","1407029","11414","173228","3041","1628009","66781","90521","6421","2899","30","2606","197","206","2065","82","124427","2667","2095",
"2020-12-31-20-30","31.12.2020","1429007","21978","179543","6315","1702679","74670","96475","5954","2945","46","2659","196","220","2138","73","125971","1544","2095",
"2021-01-01-20-30","1.1.2021","1445486","16479","184508","4965","1766851","64172","101366","4891","2896","-49","2650","198","226","2250","112","127190","1219","2095",
"2021-01-02-20-30","2.1.2021","1450440","4954","186244","1736","1766851","12766","101734","368","2847","-49","2607","204","235","2250","0","128285","1095","2095",
"2021-01-03-20-30","3.1.2021","1454728","4288","187463","1219","1787179","7562","102329","595","2905","58","2688","198","238","2317","67","129994","1709","2095",
"2021-01-04-20-30","4.1.2021","1457839","3111","188099","636","1793779","6600","103056","727","3038","133","2771","205","247","2521","204","130897","903","2095",
"2021-01-05-20-30","5.1.2021","1470235","12396","191088","2989","1863747","69968","110279","7223","3146","108","2864","207","246","2603","82","132852","1955","2989",
"2021-01-06-20-30","6.1.2021","1488057","17822","196047","4959","1943849","80102","116880","6601","3079","-67","2847","213","244","2657","54","135760","2908","2989","7201"
"2021-01-07-20-30","7.1.2021","1496314","8257","198184","2137","1966558","22709","118982","2102","3103","24","2883","216","242","2717","60","138383","2623","2137","10751"
"2021-01-08-20-30","8.1.2021","1506971","10657","201164","2980","2019588","53030","122616","3634","3142","39","2921","215","248","2788","71","141490","3107","2137","19727"
"2021-01-09-20-30","9.1.2021","1523339","16368","205236","4072","2093521","73933","122616","3634","3109","-33","2904","224","249","2836","48","144612","3122","2980","19727"
"2021-01-10-20-30","10.1.2021","1536183","12844","208209","2973","2119204","25683","128168","1315","3188","79","2928","232","253","2918","82","147275","2663","2980","19727"
"2021-01-11-20-30","11.1.2021","1540511","4328","209069","860","2171320","52116","130992","2824","3292","104","3033","228","251","3007","89","150239","2964","2980","26251"
"2021-01-12-20-30","12.1.2021","1552630","12119","211479","2410","2243640","72320","134476","3484","3383","91","3108","232","261","3102","95","153755","3516","2973","31785"
"2021-01-13-20-30","13.1.2021","1568070","15440","215055","3576","2327934","84294","138264","3788","3322","-61","3082","238","253","3163","61","157028","3273","2973","39395"
"2021-01-14-20-30","14.1.2021","1580412","12342","217978","2923","2404323","76389","141890","3626","3275","-47","3036","243","246","3260","97","160401","3373","2973","42096"
"2021-01-15-20-30","15.1.2021","1592287","11875","220707","2729","2456426","52103","144485","2595","3273","-2","3049","251","279","3362","102","163323","2922","2923","47704"
"2021-01-16-20-30","16.1.2021","1603679","11392","222752","2045","2508666","52240","146245","1760","3273","0","3055","250","277","3417","55","166555","3232","2729","55100"
"2021-01-17-20-30","17.1.2021","1606529","2850","223325","573","2533325","24659","147222","977","3294","8","3067","241","287","3474","57","168915","2360","2410","57804"
"2021-01-18-20-30","18.1.2021","1612781","6252","224385","1060","2576618","43293","148161","939","3392","98","3164","244","297","3526","52","171092","2177","2410","60079"
