location,Image URL,people_vaccinated_per_hundred,date
Andorra,https://www.countryflags.io/ad/flat/64.png,0.75,2021-01-25 00:00:00
Austria,https://www.countryflags.io/at/flat/64.png,0.08,2021-01-10 00:00:00
Austria,https://www.countryflags.io/at/flat/64.png,0.13,2021-01-11 00:00:00
Austria,https://www.countryflags.io/at/flat/64.png,0.15,2021-01-12 00:00:00
Austria,https://www.countryflags.io/at/flat/64.png,0.22,2021-01-13 00:00:00
Austria,https://www.countryflags.io/at/flat/64.png,0.33,2021-01-14 00:00:00
Austria,https://www.countryflags.io/at/flat/64.png,0.44,2021-01-15 00:00:00
Austria,https://www.countryflags.io/at/flat/64.png,0.56,2021-01-16 00:00:00
Austria,https://www.countryflags.io/at/flat/64.png,0.62,2021-01-17 00:00:00
Austria,https://www.countryflags.io/at/flat/64.png,0.67,2021-01-18 00:00:00
Austria,https://www.countryflags.io/at/flat/64.png,0.78,2021-01-19 00:00:00
Austria,https://www.countryflags.io/at/flat/64.png,0.96,2021-01-20 00:00:00
Austria,https://www.countryflags.io/at/flat/64.png,1.17,2021-01-21 00:00:00
Austria,https://www.countryflags.io/at/flat/64.png,1.35,2021-01-22 00:00:00
Austria,https://www.countryflags.io/at/flat/64.png,1.47,2021-01-23 00:00:00
Austria,https://www.countryflags.io/at/flat/64.png,1.50,2021-01-24 00:00:00
Austria,https://www.countryflags.io/at/flat/64.png,1.52,2021-01-25 00:00:00
Austria,https://www.countryflags.io/at/flat/64.png,1.63,2021-01-26 00:00:00
Austria,https://www.countryflags.io/at/flat/64.png,1.71,2021-01-27 00:00:00
Austria,https://www.countryflags.io/at/flat/64.png,1.82,2021-01-28 00:00:00
Austria,https://www.countryflags.io/at/flat/64.png,1.93,2021-01-29 00:00:00
Austria,https://www.countryflags.io/at/flat/64.png,2.04,2021-01-30 00:00:00
Austria,https://www.countryflags.io/at/flat/64.png,2.06,2021-01-31 00:00:00
Belgium,https://www.countryflags.io/be/flat/64.png,0.01,2021-01-01 00:00:00
Belgium,https://www.countryflags.io/be/flat/64.png,0.01,2021-01-04 00:00:00
Belgium,https://www.countryflags.io/be/flat/64.png,0.02,2021-01-05 00:00:00
Belgium,https://www.countryflags.io/be/flat/64.png,0.05,2021-01-06 00:00:00
Belgium,https://www.countryflags.io/be/flat/64.png,0.12,2021-01-07 00:00:00
Belgium,https://www.countryflags.io/be/flat/64.png,0.20,2021-01-08 00:00:00
Belgium,https://www.countryflags.io/be/flat/64.png,0.23,2021-01-09 00:00:00
Belgium,https://www.countryflags.io/be/flat/64.png,0.23,2021-01-10 00:00:00
Belgium,https://www.countryflags.io/be/flat/64.png,0.28,2021-01-11 00:00:00
Belgium,https://www.countryflags.io/be/flat/64.png,0.41,2021-01-12 00:00:00
Belgium,https://www.countryflags.io/be/flat/64.png,0.59,2021-01-13 00:00:00
Belgium,https://www.countryflags.io/be/flat/64.png,0.77,2021-01-14 00:00:00
Belgium,https://www.countryflags.io/be/flat/64.png,0.96,2021-01-15 00:00:00
Belgium,https://www.countryflags.io/be/flat/64.png,1.01,2021-01-16 00:00:00
Belgium,https://www.countryflags.io/be/flat/64.png,1.03,2021-01-17 00:00:00
Belgium,https://www.countryflags.io/be/flat/64.png,1.12,2021-01-18 00:00:00
