Date,Apple driving,transit,walking,grocery and pharmacy,workplaces,Google retail & recreation,transit stations
2020-02-15 00:00:00,19.69,10.33,39.13,5,3,11,12
2020-02-16 00:00:00,12.7,2.230000000000004,10.51,7,2,14,17
2020-02-17 00:00:00,4.5,17.77,26.22,4,-6,8,5
2020-02-18 00:00:00,7.989999999999995,14.14,33.59,3,-6,6,3
2020-02-19 00:00:00,11.44,9.86,24.98,-1,-7,3,0
2020-02-20 00:00:00,12.03,5.769999999999996,31.81,0,-8,5,1
2020-02-21 00:00:00,22.63,12.47,46.91,-1,-10,-2,-5
2020-02-22 00:00:00,7.5,-2.700000000000003,32.93000000000001,3,3,6,10
2020-02-23 00:00:00,6.680000000000009,12.47,-1.459999999999994,2,0,0,6
2020-02-24 00:00:00,3.010000000000005,-4.280000000000001,27.29000000000001,2,-4,5,5
2020-02-25 00:00:00,5.099999999999994,9.489999999999997,39.5,3,-3,5,7
2020-02-26 00:00:00,6.019999999999996,0.7399999999999949,31.44999999999999,-1,-5,-1,0
2020-02-27 00:00:00,5.129999999999996,1.489999999999995,21.57,4,-5,3,4
2020-02-28 00:00:00,12.45,6.049999999999998,23.41,4,-7,-3,-2
2020-02-29 00:00:00,-9.120000000000003,-16.37,17.47,18,4,10,11
2020-03-01 00:00:00,-7.370000000000003,-15.63,-19.43000000000001,0,1,-4,8
2020-03-02 00:00:00,-1.609999999999999,0.1899999999999977,6.760000000000005,4,-3,2,4
2020-03-03 00:00:00,1.519999999999996,-3.260000000000005,9.650000000000006,0,-2,-2,-1
2020-03-05 00:00:00,7.180000000000009,-7.719999999999999,19.48,4,-3,2,3
2020-03-06 00:00:00,11,-5.400000000000006,28.21000000000001,4,-5,-4,-5
2020-03-07 00:00:00,-8.950000000000003,-12.19,26.12,8,2,-2,-2
2020-03-08 00:00:00,-9.519999999999996,-18.59999999999999,-7.129999999999996,23,3,5,8
2020-03-09 00:00:00,-13.19,-29.48999999999999,-2.549999999999997,11,-2,-1,-2
2020-03-10 00:00:00,-16.90000000000001,-36.56,-9.540000000000006,9,-7,-7,-11
2020-03-11 00:00:00,-22.22,-44.37,-19.41,6,-11,-13,-22
2020-03-12 00:00:00,-29.87,-42.51,-11.77,20,-16,-12,-24
2020-03-13 00:00:00,-41.48,-63.35,-46.26,11,-26,-38,-44
2020-03-14 00:00:00,-56.35,-67.35,-57.57,-24,-22,-69,-50
2020-03-15 00:00:00,-57.41,-64.74000000000001,-58.57,-35,-29,-74,-56
2020-03-16 00:00:00,-57.41,-69.02,-60.46,-15,-44,-65,-58
2020-03-17 00:00:00,-54.98,-65.67,-58.01,-27,-50,-71,-60
2020-03-18 00:00:00,-53.73,-69.86,-56.17,-24,-51,-70,-61
2020-03-19 00:00:00,-51.46,-63.07,-47.68,-24,-51,-69,-60
2020-03-20 00:00:00,-50.23,-65.95,-50.25,-26,-51,-71,-63
2020-03-21 00:00:00,-64,-70.14,-75.38,-36,-41,-82,-70
2020-03-22 00:00:00,-60.37,-71.16,-68.28,-42,-40,-80,-69
2020-03-23 00:00:00,-56.25,-71.44,-64.16,-25,-50,-69,-66
2020-03-24 00:00:00,-53.42,-74.88,-61.35,-26,-51,-69,-63
2020-03-25 00:00:00,-52.42,-67.63,-63.75,-28,-51,-70,-65
2020-03-26 00:00:00,-48.8,-65.67,-56,-26,-51,-69,-63
2020-03-27 00:00:00,-43.69,-63.72,-46.55,-21,-50,-68,-62
2020-03-28 00:00:00,-46.92,-64.65,-45.51,-20,-34,-72,-54
2020-03-29 00:00:00,-49.28,-64.47,-52.77,-89,-38,-82,-61
2020-03-30 00:00:00,-47.59,-67.07,-58.06,-22,-48,-61,-62
2020-03-31 00:00:00,-44.95,-67.91,-57.4,-25,-48,-62,-60
2020-04-01 00:00:00,-42.77,-66.22999999999999,-50.74,-24,-48,-62,-60
2020-04-02 00:00:00,-41.29,-65.67,-47.01,-21,-48,-60,-59
2020-04-03 00:00:00,-40.24,-67.16,-45.8,-18,-47,-62,-60
