Kraj,Kraje,Okres,Počet obyvateľov
Banská Bystrica Region,Banskobystrický kraj,Banská Bystrica,110716
Banská Bystrica Region,Banskobystrický kraj,Banská Štiavnica,16069
Banská Bystrica Region,Banskobystrický kraj,Brezno,61269
Banská Bystrica Region,Banskobystrický kraj,Detva,31967
Banská Bystrica Region,Banskobystrický kraj,Krupina,22139
Banská Bystrica Region,Banskobystrický kraj,Lučenec,73342
Banská Bystrica Region,Banskobystrický kraj,Poltár,21397
Banská Bystrica Region,Banskobystrický kraj,Revúca,39537
Banská Bystrica Region,Banskobystrický kraj,Rimavská Sobota,84048
Banská Bystrica Region,Banskobystrický kraj,Veľký Krtíš,43263
Banská Bystrica Region,Banskobystrický kraj,Žarnovica,26112
Banská Bystrica Region,Banskobystrický kraj,Žiar nad Hronom,46732
Banská Bystrica Region,Banskobystrický kraj,Zvolen,68685
Bratislava Region,Bratislavský kraj,Bratislava,437726
Bratislava Region,Bratislavský kraj,Bratislava I,41893
Bratislava Region,Bratislavský kraj,Bratislava II,116223
Bratislava Region,Bratislavský kraj,Bratislava III,69479
Bratislava Region,Bratislavský kraj,Bratislava IV,97792
Bratislava Region,Bratislavský kraj,Bratislava V,112339
Bratislava Region,Bratislavský kraj,Malacky,74661
Bratislava Region,Bratislavský kraj,Pezinok,65593
Bratislava Region,Bratislavský kraj,Senec,91612
Košice Region,Košický kraj,Gelnica,31894
Košice Region,Košický kraj,Košice,238593
Košice Region,Košický kraj,Košice - okolie,130132
Košice Region,Košický kraj,Košice I,67484
Košice Region,Košický kraj,Košice II,82278
Košice Region,Košický kraj,Košice III,28687
Košice Region,Košický kraj,Košice IV,60144
Košice Region,Košický kraj,Michalovce,110748
Košice Region,Košický kraj,Rožňava,62131
Košice Region,Košický kraj,Sobrance,22789
Košice Region,Košický kraj,Spišská Nová Ves,99878
Košice Region,Košický kraj,Trebišov,105295
Nitra Region,Nitriansky kraj,Komárno,101500
Nitra Region,Nitriansky kraj,Levice,110523
Nitra Region,Nitriansky kraj,Nitra,161679
Nitra Region,Nitriansky kraj,Nové Zámky,138577
Nitra Region,Nitriansky kraj,Šaľa,51568
Nitra Region,Nitriansky kraj,Topoľčany,69947
Nitra Region,Nitriansky kraj,Zlaté Moravce,40512
Prešov Region,Prešovský kraj,Bardejov,77765
Prešov Region,Prešovský kraj,Humenné,61773
Prešov Region,Prešovský kraj,Kežmarok,75533
Prešov Region,Prešovský kraj,Levoča,33708
Prešov Region,Prešovský kraj,Medzilaborce,11787
Prešov Region,Prešovský kraj,Poprad,104990
Prešov Region,Prešovský kraj,Prešov,176181
Prešov Region,Prešovský kraj,Sabinov,60659
Prešov Region,Prešovský kraj,Snina,36123
Prešov Region,Prešovský kraj,Stará Ľubovňa,53958
Prešov Region,Prešovský kraj,Stropkov,20442
Prešov Region,Prešovský kraj,Svidník,32484
Prešov Region,Prešovský kraj,Vranov nad Topľou,80841
Trenčín Region,Trenčiansky kraj,Bánovce nad Bebravou,36184
Trenčín Region,Trenčiansky kraj,Ilava,59075
Trenčín Region,Trenčiansky kraj,Myjava,26256
Trenčín Region,Trenčiansky kraj,Nové Mesto nad Váhom,62575
Trenčín Region,Trenčiansky kraj,Partizánske,45489
Trenčín Region,Trenčiansky kraj,Považská Bystrica,62351
Trenčín Region,Trenčiansky kraj,Prievidza,133721
Trenčín Region,Trenčiansky kraj,Púchov,44248
Trenčín Region,Trenčiansky kraj,Trenčín,114670
Trnava Region,Trnavský kraj,Dunajská Streda,122825
Trnava Region,Trnavský kraj,Galanta,94147
Trnava Region,Trnavský kraj,Hlohovec,44943
Trnava Region,Trnavský kraj,Piešťany,62726
Trnava Region,Trnavský kraj,Senica,60419
Trnava Region,Trnavský kraj,Skalica,47078
Trnava Region,Trnavský kraj,Trnava,132779
Žilina Region,Žilinský kraj,Bytča,30965
Žilina Region,Žilinský kraj,Čadca,89952
Žilina Region,Žilinský kraj,Dolný Kubín,39417
Žilina Region,Žilinský kraj,Kysucké Nové Mesto,32890
Žilina Region,Žilinský kraj,Liptovský Mikuláš,72216
Žilina Region,Žilinský kraj,Martin,96171
Žilina Region,Žilinský kraj,Námestovo,62879
Žilina Region,Žilinský kraj,Ružomberok,56657
Žilina Region,Žilinský kraj,Turčianske Teplice,15880
Žilina Region,Žilinský kraj,Tvrdošín,36203
Žilina Region,Žilinský kraj,Žilina,158279
