Index,ID,Obdobie (rok),Organizácia - typ súdu,Organizácia - skratka,TČ P Z OZ,Dôvody väzby (zoznam spolu),Väzba trvá / skončila / vec vrátená,71a,71b,71c,Dátum vzatia do väzby - dátum a čas,Začiatok súdnej väzby - dátum,Začiatok väzby na súde I. stupňa - dátum,Začiatok väzby na súde II. stupňa - dátum,Dátum rozhodnutia súdu II. stupňa,Dôvod skončenia väzby,Vec je na odvolacom súde,Dotazník - podkategória,Väzba skončila na súde I. stupňa - dátum a čas,Väzba skončila na súde II. stupňa - dátum a čas
0,1,2019,ŠTS,ŠTS,OZ,"01 - podľa § 71 (1) a/,02 - podľa § 71 (1) b/,03 - podľa § 71 (1) c/",03 - väzba trvá,1,1,1,2018-09-28 09:20:00,2019-10-21 00:00:00,,,,,Nie,V 5-12,,
1,1,2019,ŠTS,ŠTS,P,"01 - podľa § 71 (1) a/,03 - podľa § 71 (1) c/",01 - väzba skončila na súde I. stupňa,1,,1,2019-09-06 18:00:00,2019-10-04 00:00:00,,,,01 - odsúdením,Nie,V 5-12,2019-11-04 00:00:00,
2,1,2019,ŠTS,ŠTS,OZ,,02 - väzba skončila na súde II. stupňa,,,,2016-05-17 00:00:00,2018-01-12 00:00:00,,,,01 - odsúdením,Nie,V 5-12,,2019-10-08 00:00:00
3,1,2019,ŠTS,ŠTS,OZ,,03 - väzba trvá,,,,2018-09-19 00:00:00,2019-03-19 00:00:00,,,,,Nie,V 5-12,,
4,1,2019,ŠTS,ŠTS,Z,03 - podľa § 71 (1) c/,02 - väzba skončila na súde II. stupňa,,,1,2018-08-07 06:02:00,2019-07-11 00:00:00,,,,08 - prepustením na základe žiadosti,Nie,V 5-12,,2019-08-12 00:00:00
5,1,2019,ŠTS,ŠTS,Z,,02 - väzba skončila na súde II. stupňa,,,,2018-09-12 00:00:00,2018-09-12 00:00:00,,,,01 - odsúdením,Nie,V 5-12,,2019-03-27 00:00:00
6,1,2019,ŠTS,ŠTS,OZ,,03 - väzba trvá,,,,2017-03-06 00:00:00,2018-10-29 00:00:00,,,,,Nie,V 5-12,,
7,1,2019,ŠTS,ŠTS,OZ,,03 - väzba trvá,,,,2017-03-06 00:00:00,2018-10-29 00:00:00,,,,,Nie,V 5-12,,
8,1,2019,ŠTS,ŠTS,OZ,11 - podľa iného ust.,02 - väzba skončila na súde II. stupňa,,,,2018-12-27 15:30:00,2019-09-10 00:00:00,,,,11 - inak,Nie,V 5-12,,2019-10-09 00:00:00
9,1,2019,ŠTS,ŠTS,OZ,,02 - väzba skončila na súde II. stupňa,,,,2016-05-17 00:00:00,2018-01-12 00:00:00,,,,01 - odsúdením,Áno,V 5-12,,2019-11-12 00:00:00
